26	4	64.8	7.6	0.001	74.9	10.1	0.002
26	6	21.6	5.5	0.001	24.7	3.1	0.012
26	5	6.4	3.2	0.000	6.4	2.8	0.000
26	7	287.9	9.7	0.009	301.9	14.0	0.000
26	8	117.5	3.9	0.009	132.5	15.0	0.009
26	14	202.6	1.8	0.096	217.8	15.2	0.000
26	15	171.5	3.0	0.050	185.6	14.1	0.000
26	17	154.8	-2.8	0.024	149.5	-5.3	0.003
26	9	109.2	-6.4	0.019	91.8	-17.4	0.000
26	16	10.8	-1.5	0.434	5.6	-47.7	0.001
26	11	17.3	-1.2	0.450	12.2	-29.5	0.000
26	13	2.8	-0.4	0.608	2.0	-0.8	0.005
26	12	12.6	-0.8	0.544	3.5	-72.2	0.005
26	23	118.5	-2.5	0.492	143.1	20.7	0.003
26	24	157.6	12.1	0.001	157.0	-0.4	0.796
26	25	223.4	-8.6	0.005	226.4	1.4	0.770
26	26	9.2	1.1	0.000	9.6	4.6	0.285
26	27	48.0	-0.7	0.727	46.1	-3.8	0.139
26	28	94.2	10.3	0.002	97.3	3.3	0.454
26	29	8.3	0.6	0.026	8.3	1.2	0.852
26	30	9.9	1.1	0.137	11.6	17.5	0.100
26	31	3.5	0.4	0.142	3.9	10.9	0.290
26	33	7.2	2.6	0.008	10.1	39.7	0.002
26	37	141.1	-17.7	0.000	141.1	-2.4	0.180
26	38	70.1	-0.4	0.921	69.7	-0.6	0.881
26	45						
25	4	76.8	10.1	0.000	90.4	13.6	0.000
25	6	35.8	2.8	0.010	42.3	6.5	0.006
25	5	20.2	7.1	0.000	28.1	7.9	0.000
25	7	322.0	5.7	0.025	329.4	7.4	0.000
25	8	136.8	5.7	0.002	152.6	15.8	0.000
25	14	209.2	9.1	0.004	225.8	16.6	0.000
25	15	185.2	7.4	0.002	203.0	17.8	0.000
25	17	131.1	-4.6	0.012	112.3	-18.8	0.000
25	9	109.2	-7.4	0.008	97.3	-11.8	0.000
25	16	2.0	-1.6	0.197	0.4	-79.4	0.002
25	11	7.7	0.1	0.903	3.4	-55.2	0.007
25	13	0.2	0.0	0.753	0.2	0.0	0.180
25	12	1.3	0.1	0.545	0.0	-100.0	0.180
25	23	99.6	-3.7	0.495	115.1	15.5	0.159
25	24	115.4	11.4	0.001	112.2	-2.8	0.220
25	25	246.4	-8.0	0.012	257.2	4.4	0.223
25	26	8.2	0.7	0.024	9.1	11.1	0.172
25	27	44.8	-0.6	0.783	46.6	4.0	0.639
25	28	58.4	4.7	0.052	63.4	8.6	0.097
25	29	7.4	0.7	0.190	8.3	12.3	0.149
25	30	6.6	0.8	0.259	10.2	54.9	0.007
25	31	2.5	0.4	0.222	5.6	125.4	0.000
