3	5	36	12.7	-0.4	0.001	12.2	-0.5	0.785
3	6	1	18.8	0.7	0.000	19.8	1.0	0.000
3	6	2	13.4	1.7	0.024	14.4	1.0	0.000
3	6	3	23.9	0.8	0.001	24.9	1.0	0.005
3	6	22	235.2	29.1	0.027	258.5	9.9	0.115
3	6	32	50.8	-0.9	0.205	51.3	1.0	0.351
3	6	35	1.9	-0.2	0.009	1.9	0.0	0.756
3	6	36	10.8	-2.5	0.012	8.3	-0.5	0.164
3	7	1	8.0	0.0	0.895	9.4	1.4	0.000
3	7	2	4.3	1.0	0.049	5.7	1.4	0.000
3	7	3	12.3	0.5	0.092	13.6	1.3	0.000
3	7	22	142.7	6.4	0.557	152.1	6.6	0.285
3	7	32	63.2	0.4	0.536	64.6	2.1	0.001
3	7	35	2.3	-0.3	0.001	2.4	0.1	0.604
3	7	36	11.9	-0.5	0.164	10.8	-1.1	0.658
4	1	1	7.9	0.3	0.590	8.9	1.0	0.000
4	1	2	3.6	0.3	0.090	4.8	1.2	0.000
4	1	3	12.5	0.4	0.019	13.5	1.0	0.000
4	1	22	624.1	4.6	0.007	667.5	7.0	0.119
4	1	32	61.2	0.0	0.955	61.8	1.0	0.120
4	1	35	2.7	-0.3	0.000	2.6	-0.1	0.013
4	1	36	16.8	-0.4	0.043	14.8	-2.0	0.074
4	4	1	-2.5	0.3	0.590	-1.4	1.2	0.010
4	4	2	-5.3	0.3	0.628	-3.8	1.5	0.006
4	4	3	0.2	0.2	0.616	1.4	1.2	0.012
4	4	22	99.8	4.7	0.319	110.6	10.8	0.071
4	4	32	74.9	1.3	0.013	75.4	1.3	0.013
4	4	35	3.2	-0.4	0.000	3.2	-0.4	0.000
4	4	36	12.0	-0.4	0.068	8.6	-3.4	0.193
4	5	1	8.2	0.3	0.195	8.9	0.7	0.008
4	5	2	3.4	0.2	0.411	4.2	0.8	0.004
4	5	3	13.5	0.4	0.185	14.1	0.6	0.026
4	5	22	134.4	11.4	0.119	136.0	1.1	0.870
4	5	32	52.6	-0.8	0.259	52.8	0.4	0.723
4	5	35	2.8	-0.3	0.000	2.9	0.1	0.466
4	5	36	13.4	-0.2	0.225	12.7	-0.7	0.654
4	6	1	18.1	0.8	0.000	19.0	0.9	0.000
4	6	2	12.5	0.6	0.006	13.4	0.9	0.000
4	6	3	24.0	0.8	0.001	24.8	0.8	0.010
4	6	22	244.0	13.6	0.358	261.2	7.0	0.292
4	6	32	52.2	-0.9	0.247	52.6	0.8	0.549
4	6	35	2.2	-0.2	0.000	2.2	0.0	0.756
4	6	36	11.3	-2.2	0.046	9.1	-0.4	0.204
4	7	1	7.8	0.3	0.139	9.1	1.3	0.000
4	7	2	4.0	0.2	0.386	5.5	1.5	0.000
4	7	3	12.2	0.4	0.131	13.4	1.2	0.000
4	7	22	145.4	13.1	0.161	155.0	6.7	0.316
4	7	32	65.3	0.5	0.445	66.7	2.1	0.003
4	7	35	2.7	-0.3	0.000	2.8	0.1	0.675
4	7	36	10.4	-0.4	0.204	8.8	-1.6	0.519
5	1	1	7.6	0.4	0.410	8.7	1.1	0.000
5	1	2	3.5	0.5	0.012	4.7	1.2	0.000
5	1	3	12.2	0.6	0.004	13.2	1.0	0.000
5	1	22	637.9	0.5	0.727	650.8	2.0	0.649
5	1	32	60.7	-0.8	0.020	61.1	0.7	0.284
5	1	35	2.5	-0.3	0.000	2.4	-0.1	0.018
5	1	36	11.0	-0.8	0.000	9.3	-1.7	0.126
5	4	1	-3.0	0.4	0.410	-1.4	1.2	0.010
5	4	2	-5.7	0.6	0.298	-4.1	1.6	0.006
5	4	3	-0.3	0.3	0.546	0.9	1.2	0.010
5	4	22	107.5	1.4	0.775	118.4	10.2	0.107
5	4	32	74.4	0.9	0.028	74.8	0.9	0.028
5	4	35	2.9	-0.5	0.000	2.9	-0.5	0.000
5	4	36	11.6	-0.8	0.000	8.4	-3.2	0.173
5	5	1	8.0	0.4	0.078	8.7	0.7	0.005
5	5	2	3.3	0.3	0.206	4.1	0.8	0.004
5	5	3	13.3	0.5	0.070	14.0	0.7	0.017
5	5	22	138.4	10.3	0.191	134.6	-2.7	0.680
