3	26	20	51	-2.3	0.4	0.394	-0.9	1.4	0.001
3	26	20	52	120.5	4.0	0.508	116.5	-3.3	0.026
3	26	20	54	94.8	-1.4	0.434	80.5	-15.0	0.066
3	26	20	55	98.6	-0.7	0.150	95.4	-3.3	0.026
3	26	20	56	8.4	0.1	0.677	7.0	-17.3	0.039
3	26	21	51	5.5	0.7	0.082	-1.4	1.2	0.010
3	26	21	52	80.5	3.5	0.453	79.9	-0.7	0.801
3	26	21	54	91.0	-2.0	0.283	30.9	-66.0	0.021
3	26	21	55	96.7	-1.1	0.126	96.1	-0.7	0.801
3	26	21	56	26.4	-0.8	0.141	9.2	-0.8	0.141
3	26	22	51	15.0	0.0	0.000	15.8	0.8	0.013
3	26	22	52	55.1	1.8	0.568	54.5	-1.1	0.531
3	26	22	54	89.5	-1.6	0.369	0.3	-6.3	0.496
3	26	22	55	87.0	0.7	0.601	0.0	-1.1	0.531
3	26	22	56	21.1	-0.2	0.816	19.6	-7.1	0.457
3	26	23	51	18.5	0.6	0.044	19.6	1.1	0.000
3	26	23	52	74.3	-4.5	0.244	74.2	-0.1	0.822
3	26	23	54	96.4	-1.7	0.125	113.4	17.6	0.064
3	26	23	55	98.9	-0.4	0.093	98.8	-0.1	0.822
3	26	23	56	21.0	-0.5	0.063	24.7	17.6	0.062
3	26	24	51	20.7	1.0	0.001	21.4	0.8	0.020
3	26	24	52	72.6	1.8	0.737	72.2	-0.5	0.722
3	26	24	54	91.2	-6.0	0.006	83.1	-8.9	0.116
3	26	24	55	89.0	-0.4	0.726	88.6	-0.5	0.722
3	26	24	56	9.7	-0.7	0.005	8.8	-9.6	0.093
3	25	20	51	1.6	0.3	0.361	2.8	1.2	0.001
3	25	20	52	136.2	4.4	0.595	155.7	14.3	0.070
3	25	20	54	84.8	2.2	0.336	31.0	-63.4	0.002
3	25	20	55	97.0	-1.0	0.225	93.3	-3.8	0.049
3	25	20	56	7.4	-0.3	0.236	2.6	-65.0	0.002
3	25	21	51	6.7	0.6	0.100	-1.4	1.2	0.010
3	25	21	52	75.2	1.2	0.851	78.5	4.4	0.589
3	25	21	54	82.9	-4.2	0.092	26.1	-68.5	0.036
3	25	21	55	98.3	0.5	0.393	98.6	0.4	0.774
3	25	21	56	24.4	-1.1	0.126	7.8	-1.1	0.126
3	25	22	51	15.0	0.4	0.152	15.8	0.9	0.001
3	25	22	52	33.9	-0.6	0.869	29.8	-12.2	0.282
3	25	22	54	90.3	-1.8	0.181	84.6	-6.3	0.496
3	25	22	55	72.8	-1.7	0.574	70.0	-4.0	0.309
3	25	22	56	18.0	-0.9	0.405	15.4	-14.6	0.086
3	25	23	51	19.6	0.7	0.008	20.6	1.0	0.000
3	25	23	52	50.8	-1.3	0.787	57.7	13.7	0.401
3	25	23	54	92.3	-5.3	0.005	88.9	-3.7	0.573
3	25	23	55	94.5	-0.5	0.676	93.9	-0.7	0.788
3	25	23	56	19.2	-1.2	0.020	18.7	-2.7	0.705
3	25	24	51	22.6	0.9	0.005	23.5	0.9	0.004
3	25	24	52	39.2	-4.0	0.467	41.8	6.6	0.761
3	25	24	54	75.6	-9.4	0.006	51.2	-32.4	0.002
3	25	24	55	95.4	0.8	0.442	95.2	-0.2	0.846
3	25	24	56	8.6	-1.0	0.008	5.8	-32.2	0.002
3	14	20	51	-2.9	0.3	0.514	-1.6	1.2	0.006
3	14	20	52	98.2	1.5	0.786	106.6	8.5	0.237
3	14	20	54	92.3	-2.0	0.422	86.0	-6.9	0.398
3	14	20	55	99.0	-0.1	0.762	97.2	-1.8	0.252
3	14	20	56	8.2	0.2	0.433	7.9	-4.4	0.578
